 MetricLens Audience Summary report generated by Conviva Pulse.
 This report must be used in conformance with customer's
 Subscription Agreement & Data Policy with Conviva.
 Report generated on Jan 09 2018 11:25:04 +1100 (MAGT)
 Copyright 2018 Conviva Inc.
 Conviva Confidential

 Time range: 2018-01-07 - 2018-01-08 +1100
 Filters:, All Traffic

 
 Assets, Plays, Unique Devices, Total Minutes min, Average Unique Device Ended Plays, Average Unique Device Minutes min, Average Ended Play Minutes min, Average % Complete %
 TOTAL, 242277, 94542, 4505756.33, 2.38, 47.66, 20.06, 49.32
 LIVE! FedUni RoadNats, 13661, 5004, 222666.24, 2.83, 44.5, 15.75, 0.0
 Men's Road Race winning moment, 4645, 3913, 14536.66, 1.1, 3.71, 3.39, 82.7
 Vikings S5 Ep6 - The Message, 4923, 3006, 119720.62, 1.42, 39.83, 28.04, 62.4
 18-year-old wonderkid turns it around for City, 4245, 4016, 6075.97, 1.05, 1.51, 1.44, 92.1
 Costa scores then gets sent off, 3859, 3748, 2926.63, 1.03, 0.78, 0.76, 91.39
 The Ghan Australia's Greatest Train Journey, 3233, 2382, 117936.18, 1.39, 49.51, 35.74, 19.8
 Arsenal v Nottingham Forest, 3041, 2850, 4485.72, 1.04, 1.57, 1.51, 94.59
 Fourth official cops HUGE falcon and barely moves, 2813, 2495, 1272.66, 1.13, 0.51, 0.45, 100.0
 Burnley v Manchester City, 2929, 2593, 4112.2, 1.06, 1.59, 1.49, 90.27
 Vikings S5 Ep5 - The Prisoner, 2690, 1654, 56073.3, 1.38, 33.9, 24.62, 53.43
 The Vietnam War S1 Ep9 - Fratricide, 2046, 1469, 73435.1, 1.42, 49.99, 35.24, 65.4
 The Vietnam War S1 Ep10 - The Weight Of Memory, 2009, 1291, 62814.3, 1.44, 48.66, 33.88, 60.72
 Barcelona v Levante, 1876, 1627, 2317.04, 1.06, 1.42, 1.34, 88.67
 Arsenal stunned by spectacular Nottingham Forest volley, 1803, 1631, 1169.1, 1.04, 0.72, 0.69, 74.89
 Chance S1 Ep7 - Unlocking Your Hidden Powers, 1858, 1195, 42356.08, 1.41, 35.44, 25.06, 63.83
 Celta Vigo v Real Madrid, 1824, 1600, 2378.68, 1.05, 1.49, 1.41, 84.01
 Vikings S5 Ep4 - The Plan, 1772, 1140, 40497.76, 1.36, 35.52, 26.11, 61.97
 Just One Look S1 Ep1, 1627, 1098, 41433.2, 1.38, 37.74, 27.29, 52.52
 Vikings S5 Ep2 - The Departed Part 2, 1547, 1040, 25058.59, 1.32, 24.09, 18.22, 42.97
 Vikings S5 Ep3 - Homeland, 1562, 989, 30118.66, 1.38, 30.45, 22.1, 52.08
 Berlin Station S1 Ep1 - Station To Station, 1469, 997, 34807.68, 1.36, 34.91, 25.71, 50.21
 Australian Women's National Road Race wrap, 1415, 1260, 6546.54, 1.07, 5.2, 4.84, 54.57
 Women's Road Race winning moment, 1454, 1213, 3378.41, 1.1, 2.79, 2.52, 76.07
 Dakar Rally 2018 on SBS, 1242, 982, 918.45, 1.24, 0.94, 0.75, 72.97
 Motor Sport: Dakar Rally 2018 S2018 Ep1, 1190, 909, 20645.52, 1.31, 22.71, 17.31, 64.27
 Just One Look S1 Ep2, 1292, 846, 39887.28, 1.41, 47.15, 33.49, 59.33
 The Handmaid's Tale S1 Ep1 - Offred, 1380, 859, 30656.57, 1.37, 35.69, 26.14, 47.39
 Bale nets quick-fire double, 1231, 1113, 1205.98, 1.03, 1.08, 1.05, 85.47
 Just One Look S1 Ep3, 1188, 780, 33502.03, 1.4, 42.95, 30.6, 62.76
 Jane Got A Gun, 1259, 721, 41544.83, 1.5, 57.62, 38.47, 40.95
 Liverpool v Everton, 1136, 1016, 1616.95, 1.04, 1.59, 1.53, 86.43
 Just One Look S1 Ep4, 1098, 717, 34994.74, 1.46, 48.81, 33.46, 61.82
 How much does Usain Bolt know about Manchester United?, 1264, 1027, 1119.47, 1.01, 1.09, 1.08, 75.1
 The Vietnam War S1 Ep1 - Deja Vu, 1010, 720, 30116.33, 1.41, 41.83, 29.61, 54.62
 Wanderers win in Brisbane, 1055, 954, 1034.68, 1.06, 1.08, 1.02, 67.41
 Happythankyoumoreplease, 1149, 651, 39986.82, 1.54, 61.42, 39.83, 42.22
 Chance S1 Ep6 - The Unflinching Spark, 1045, 665, 25223.56, 1.45, 37.93, 26.17, 55.51
 Just One Look S1 Ep5, 1049, 682, 31642.14, 1.41, 46.4, 32.93, 64.6
 The Ghan, 943, 794, 574.83, 1.17, 0.72, 0.62, 54.39
 Berlin Station S1 Ep3 - Riverrun Dry, 959, 652, 28028.91, 1.42, 42.99, 30.3, 57.68
 Berlin Station S1 Ep2 - Lights Don't Run On Loyalty, 996, 667, 27453.4, 1.38, 41.16, 29.74, 57.92
 Berlin Station S1 Ep4 - By Way Of Deception, 959, 655, 29193.11, 1.36, 44.57, 32.8, 59.98
 Conte describes Mourinho as a 'fake' over Ranieri treatment, 852, 772, 609.0, 1.1, 0.79, 0.72, 89.56
 Chance S1 Ep1 - The Summer Of Love, 900, 581, 22020.13, 1.46, 37.9, 26.0, 54.46
 The Ghan Australia's Greatest Train Journey - Live stream, 943, 632, 25520.45, 1.32, 40.38, 30.64, 0.0
 Palo Alto, 981, 606, 21606.11, 1.37, 35.65, 26.09, 27.21
 Alex Edmondson: Men's Road Race winner, 888, 765, 2029.99, 1.07, 2.65, 2.48, 83.08
 Just One Look S1 Ep6, 935, 621, 31765.7, 1.31, 51.15, 39.02, 71.56
 Atletico Madrid v Getafe, 924, 777, 1224.95, 1.03, 1.58, 1.53, 91.53
 Berlin Station S1 Ep5 - Unter Druck, 821, 564, 24751.43, 1.38, 43.89, 31.9, 63.81
 Rennes v PSG, 809, 731, 1224.09, 1.04, 1.67, 1.61, 96.77
 Berlin Station S1 Ep6 - Just Decisions, 820, 541, 23442.73, 1.38, 43.33, 31.47, 62.68
 Berlin Station S1 Ep9 - Thomas Shaw, 797, 529, 28290.12, 1.41, 53.48, 38.02, 67.22
 Sublime counter-attack goal helps Neymar seal brace, 751, 693, 476.82, 1.07, 0.69, 0.64, 99.0
 The Vietnam War S1 Ep7 - Chasing Ghosts, 731, 505, 23087.12, 1.46, 45.72, 31.33, 59.31
 Chance S1 Ep5 - A Still Point In The Turning World, 808, 516, 16750.89, 1.43, 32.46, 22.76, 52.97
 The Handmaid's Tale S1 Ep4 - Nolite Te Bastardes Carborundorum, 864, 499, 20500.82, 1.47, 41.08, 27.89, 55.0
 The Duke Of Burgundy, 912, 591, 17609.11, 1.23, 29.8, 24.19, 24.17
 Interview: Shannon Malseed, 785, 689, 1286.39, 1.05, 1.87, 1.77, 77.6
 The Handmaid's Tale S1 Ep5 - Faithful, 860, 486, 21475.66, 1.49, 44.19, 29.66, 57.9
 Berlin Station S1 Ep10 - Oratorio Berlin, 819, 534, 23865.23, 1.35, 44.69, 33.01, 64.68
 Berlin Station S1 Ep8 - False Negative, 791, 529, 23000.51, 1.36, 43.48, 32.08, 65.71
 Dakar 2018 preview, 737, 563, 8754.51, 1.27, 15.55, 12.28, 50.84
 The Vietnam War S1 Ep2 - Riding The Tiger, 735, 499, 20575.77, 1.41, 41.23, 29.31, 55.35
 The Vietnam War S1 Ep8 - A Sea Of Fire, 759, 520, 22481.55, 1.33, 43.23, 32.58, 59.11
 Cagliari v Juventus, 747, 645, 875.39, 1.06, 1.36, 1.28, 87.13
 The Handmaid's Tale S1 Ep6 - A Woman's Place, 859, 464, 19332.6, 1.47, 41.67, 28.26, 53.63
 Mariners earn draw against Victory, 700, 649, 1019.48, 1.05, 1.57, 1.49, 92.46
 The Handmaid's Tale S1 Ep3 - Late, 828, 496, 20221.03, 1.37, 40.77, 29.69, 58.16
 Postecoglou resigns as head coach of Socceroos, 703, 669, 521.32, 1.01, 0.78, 0.77, 41.94
 The Handmaid's Tale S1 Ep2 - Birth Day, 836, 499, 17946.61, 1.35, 35.97, 26.71, 59.3
 Berlin Station S2 Ep1 - Everything's Gonna Be Alt-Right, 718, 475, 18808.3, 1.41, 39.6, 28.03, 56.63
 The Handmaid's Tale S1 Ep7 - The Other Side, 786, 441, 15906.56, 1.49, 36.07, 24.14, 53.17
 The Handmaid's Tale S1 Ep10 - Night, 760, 465, 22998.61, 1.41, 49.46, 35.01, 60.69
 Berlin Station S1 Ep7 - Proof Of Life, 723, 506, 21453.74, 1.29, 42.4, 32.9, 69.89
 The Handmaid's Tale S1 Ep8 - Jezebels, 772, 439, 16078.19, 1.44, 36.62, 25.44, 53.11
 Chance S1 Ep2 - The Axiom Of Choice, 650, 431, 15114.58, 1.45, 35.07, 24.18, 61.61
 The Handmaid's Tale S1 Ep9 - The Bridge, 755, 455, 17470.37, 1.36, 38.4, 28.22, 58.76
 Sporting sign Brazilian wonderkid Wendel, 664, 585, 805.4, 1.05, 1.38, 1.31, 82.12
